#  it lists all the configuration for HyCal modules
#  type 0 -> lead-glass, type 1 -> lead-tungstate
#  geometry and tdc can also be calculated in the program
#  id  crate  slot  chan   TDC      type  size       x       y  HV crate  slot  chan
  G805     6    19    55    61         0  38.2   358.2   443.8         5     0    40
  G780     6    19    56    61         0  38.2   549.2   405.6         5     0    35
  G779     6    19    57    61         0  38.2     511   405.6         5     0    31
  G778     6    19    58    61         0  38.2   472.8   405.6         5     2    46
  G777     6    19    59    61         0  38.2   434.6   405.6         5     2    41
  G776     6    19    60    61         0  38.2   396.4   405.6         5     2    36
  G775     6    19    61    61         0  38.2   358.2   405.6         5     2    45
  G750     6    19    62    61         0  38.2   549.2   367.4         5     2    40
  G749     6    19    63    61         0  38.2     511   367.4         5     2    35
  W168     6    17     0     6         1  20.5  297.25 -256.25         1     6    47
  W169     6    17     1     6         1  20.5  317.75 -256.25         1     6    41
  W135     6    17     2     6         1  20.5  317.75 -276.75         1     6    37
  W136     6    17     3     6         1  20.5  338.25 -276.75         1     6    42
  W102     6    17     4     6         1  20.5  338.25 -297.25         1     6    27
  W134     6    17     5     6         1  20.5  297.25 -276.75         1     6    32
  W100     6    17     6     6         1  20.5  297.25 -297.25         1     6    17
  W101     6    17     7     6         1  20.5  317.75 -297.25         1     6    22
   W67     6    17     8     6         1  20.5  317.75 -317.75         1     6     7
   W68     6    17     9     6         1  20.5  338.25 -317.75         1     6    12
   W34     6    17    10     6         1  20.5  338.25 -338.25         1     6    36
   W66     6    17    11     6         1  20.5  297.25 -317.75         1     6     2
   W32     6    17    12     6         1  20.5  297.25 -338.25         1     6    40
   W33     6    17    13     6         1  20.5  317.75 -338.25         1     6    45
  G173     6    17    14    40         0  38.2     291  -367.6         1     6    30
  G174     6    17    15    40         0  38.2   329.2  -367.6         1     6    35
  G144     6    17    16    40         0  38.2   329.2  -405.8         1     6    20
  G172     6    17    17    40         0  38.2   252.8  -367.6         1     6    25
  G142     6    17    18    40         0  38.2   252.8  -405.8         1     6    10
  G143     6    17    19    40         0  38.2     291  -405.8         1     6    15
  G113     6    17    20    40         0  38.2     291    -444         1     6    31
  G114     6    17    21    40         0  38.2   329.2    -444         1     6     5
   G84     6    17    22    40         0  38.2   329.2  -482.2         1     6    43
  G112     6    17    23    40         0  38.2   252.8    -444         1     6    48
   G82     6    17    24    40         0  38.2   252.8  -482.2         1     6    33
   G83     6    17    25    40         0  38.2     291  -482.2         1     6    38
   G53     6    17    26    40         0  38.2     291  -520.4         1     6    23
   G54     6    17    27    40         0  38.2   329.2  -520.4         1     6    28
   G24     6    17    28    40         0  38.2   329.2  -558.6         1     6    13
   G52     6    17    29    40         0  38.2   252.8  -520.4         1     6    18
   G22     6    17    30    40         0  38.2   252.8  -558.6         1     6     3
   G23     6    17    31    40         0  38.2     291  -558.6         1     6     8
  W847     6    17    32    30         1  20.5  276.75  153.75         1    10    36
  W848     6    17    33    30         1  20.5  297.25  153.75         1    10     2
  W845     6    17    34    30         1  20.5  235.75  153.75         1    10    40
  W846     6    17    35    30         1  20.5  256.25  153.75         1    10    45
  W815     6    17    36    30         1  20.5  317.75  133.25         1    10    30
  W816     6    17    37    30         1  20.5  338.25  133.25         1    10    35
  W813     6    17    38    30         1  20.5  276.75  133.25         1    10    20
  W814     6    17    39    30         1  20.5  297.25  133.25         1    10    25
  W811     6    17    40    30         1  20.5  235.75  133.25         1    10    10
  W812     6    17    41    30         1  20.5  256.25  133.25         1    10    15
  W781     6    17    42    30         1  20.5  317.75  112.75         1    10    31
  W782     6    17    43    30         1  20.5  338.25  112.75         1    10     5
  W779     6    17    44    30         1  20.5  276.75  112.75         1    10    43
  W780     6    17    45    30         1  20.5  297.25  112.75         1    10    48
  W777     6    17    46    30         1  20.5  235.75  112.75         1    10    33
  W778     6    17    47    30         1  20.5  256.25  112.75         1    10    38
  W747     6    17    48    24         1  20.5  317.75   92.25         1    10    23
  W748     6    17    49    24         1  20.5  338.25   92.25         1    10    28
  W714     6    17    50    24         1  20.5  338.25   71.75         1    10    13
  W746     6    17    51    24         1  20.5  297.25   92.25         1    10    18
  W712     6    17    52    24         1  20.5  297.25   71.75         1    10     3
  W713     6    17    53    24         1  20.5  317.75   71.75         1    10     8
  W679     6    17    54    24         1  20.5  317.75   51.25         1     8    21
  W680     6    17    55    24         1  20.5  338.25   51.25         1     8    26
  W646     6    17    56    24         1  20.5  338.25   30.75         1     8    11
  W678     6    17    57    24         1  20.5  297.25   51.25         1     8    16
  W644     6    17    58    24         1  20.5  297.25   30.75         1     8     1
  W645     6    17    59    24         1  20.5  317.75   30.75         1     8     6
  W611     6    17    60    24         1  20.5  317.75   10.25         1     8    44
  W612     6    17    61    24         1  20.5  338.25   10.25         1     8    46
  W578     6    17    62    18         1  20.5  338.25  -10.25         1     8    34
  W610     6    17    63    24         1  20.5  297.25   10.25         1     8    39
  W236     6    15     0    12         1  20.5  297.25 -215.25         1     6    39
  W233     6    15     1    12         1  20.5  235.75 -215.25         1     6    24
  W234     6    15     2    12         1  20.5  256.25 -215.25         1     6    29
  W203     6    15     3     6         1  20.5  317.75 -235.75         1     6    14
  W204     6    15     4     6         1  20.5  338.25 -235.75         1     6    19
  W170     6    15     5     6         1  20.5  338.25 -256.25         1     6     4
  W202     6    15     6     6         1  20.5  297.25 -235.75         1     6     9
  W305     6    15    10    12         1  20.5  317.75 -174.25         1     8    23
  W306     6    15    11    12         1  20.5  338.25 -174.25         1     8    28
  W303     6    15    12    12         1  20.5  276.75 -174.25         1     8    13
  W304     6    15    13    12         1  20.5  297.25 -174.25         1     8    18
  W301     6    15    14    12         1  20.5  235.75 -174.25         1     8     3
  W302     6    15    15    12         1  20.5  256.25 -174.25         1     8     8
  W271     6    15    16    12         1  20.5  317.75 -194.75         1     6    21
  W272     6    15    17    12         1  20.5  338.25 -194.75         1     6    26
  W269     6    15    18    12         1  20.5  276.75 -194.75         1     6    11
  W270     6    15    19    12         1  20.5  297.25 -194.75         1     6    16
  W267     6    15    20    12         1  20.5  235.75 -194.75         1     6     1
  W268     6    15    21    12         1  20.5  256.25 -194.75         1     6     6
  W237     6    15    22    12         1  20.5  317.75 -215.25         1     6    44
  W238     6    15    23    12         1  20.5  338.25 -215.25         1     6    46
  W235     6    15    24    12         1  20.5  276.75 -215.25         1     6    34
